R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
John Howard,Siyar Bahadurzada,Steve Mazzagatti,2013-12-28,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,3,1,0,0,1,0,0,0,12.5,3.5,1.5,0.5,12,3.5,0.5,1,0.5,0,0,14,4,0.475,0,0,0,0,24.5,14,1,1,3,3,0,0,7,3,23,8.5,26.5,8,0,0.5,0.5,4,0,30,11.5,0.195,0.5,3,1.5,0.25,111.5,91,4,471,0,0,0,0,1,0,0,1,Orthodox,180.34,185.42,170,0,1,0,5.75,4,6,3.625,32.375,12.375,6.875,4.875,28.75,8.25,0.125,10.75,8.625,1.25,0.375,45.25,20.875,0.5375,0.625,4.75,2.75,0.51875,81.875,54,4,3,9.625,7.875,8.375,6.125,49.25,19.125,13.125,7.375,51.625,17,0.125,9.5,7.75,1.625,0.75,70.75,32.625,0.44625,1.125,4.75,2.375,0.60875,110.625,66.375,22,782.125,0,0,3,0,2,0,0,5,Orthodox,170.18,180.34,170,29,30
William Patolino,Bobby Voelker,Mario Yamasaki,2013-12-28,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,3,2,0,0,11,8,21.5,15.5,74.5,23.5,12.5,7.5,87,30.5,0,10.5,8,0.5,0,108.5,46.5,0.35,0,2.5,2,0.4,154.5,82,0,2,11.5,7,15,10.5,73,38,2.5,1.5,73,37,0.5,6,6,0.5,0,90.5,50,0.565,0,3.5,0.5,0.5,106.5,64.5,5,612,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,1,0,0,7,7,11,10,28,14,18,11,44,22,0,6,6,0,0,57,35,0.61,0,4,2,0.5,67,45,0,1,5,4,2,2,39,17,5,3,39,16,0,2,2,2,0,46,22,0.47,1,7,1,0.14,63,34,2,583,1,0,0,0,0,0,0,0,Orthodox,180.34,190.5,170,34,22
Court McGee,Ryan LaFlare,Herb Dean,2013-12-14,"Sacramento, California, USA",Blue,FALSE,Welterweight,3,0,2,0,25.5,16,26.5,13,70,23,33.5,20,96,34,0.5,8.5,6,6.5,1.5,130,56,0.425,0.5,9,5.5,0.625,163,83,2,0,7.5,3,1.5,0.5,51,16,2,0.5,42,11,0.5,5,3,1,0,54.5,17,0.31,0,1,0.5,0.25,69.5,28.5,6,900,0,0,0,2,0,0,0,2,Southpaw,185.42,187.96,170,0,2,0,29.42857143,16.28571429,10.28571429,5.142857143,198.2857143,69.14285714,9.428571429,6.285714286,169.5714286,49.14285714,0,19,15.14285714,1.714285714,0,218,80.57142857,0.3571428571,0.4285714286,6.142857143,1.714285714,0.2871428571,240,99.28571429,3,2,8.857142857,6.571428571,5.714285714,3.714285714,126.7142857,45.14285714,0.5714285714,0.2857142857,117.5714286,37.42857143,0.2857142857,6.571428571,5.142857143,0.4285714286,0,133,49.14285714,0.3614285714,0,1.714285714,0.2857142857,0.1185714286,141,56.71428571,20,814.5714286,1,0,1,2,0,2,0,5,Orthodox,180.34,190.5,170,30,29
Ben Wall,Alex Garcia,Cameron Quinn,2013-12-06,"Brisbane, Queensland, Australia",Blue,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,170,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,155,26,24
Sean Spencer,Drew Dober,Yves Lavigne,2013-11-30,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Southpaw,172.72,177.8,155,0,1,0,8.5,4,7,4.5,175,50.5,0.5,0.5,172,50,0,2,1.5,0,0,182.5,55.5,0.245,0,0,0,0,184,57,1,1,16,9,4,2,112.5,45.5,24.5,19,107,39.5,0,18,18,2,0,141,66.5,0.485,2,6.5,2.5,0.4,171.5,96,6,816.5,0,0,1,0,0,0,0,1,,177.8,190.5,170,25,26
Brian Ebersole,Rick Story,Herb Dean,2013-11-16,"Las Vegas, Nevada, USA",Blue,FALSE,Welterweight,3,1,0,0,19.38461538,14.46153846,15.84615385,10.46153846,67.92307692,20.30769231,14.69230769,9.076923077,73.84615385,20.92307692,0.2307692308,5.230769231,4.461538462,1.307692308,0.3076923077,98.46153846,39.84615385,0.4161538462,1,4.923076923,2.538461538,0.5746153846,127.0769231,67.07692308,6,5,7.769230769,4.692307692,8.692307692,5,54.76923077,14.61538462,2.076923077,1.384615385,54.69230769,13.84615385,0,3.076923077,2.461538462,1.230769231,0.2307692308,65.53846154,21,0.3630769231,1,4.692307692,1.923076923,0.2876923077,87.69230769,42.07692308,33,706.0769231,0,0,2,3,2,1,0,8,Southpaw,175.26,180.34,170,1,0,0,8.6,5.4,7.8,5,32,14,14.4,10.6,36.8,18.2,0.2,8.8,6,1,0.2,54.2,29.6,0.588,0.2,8,1.8,0.224,91.6,63.2,4,1,11.2,8.8,14,10.2,33.2,10.8,0.4,0.4,34.2,11.4,0.2,2.2,1.2,1.2,0.6,47.6,21.4,0.364,2.8,1.2,0.6,0.6,71.8,43.6,13,773.6,0,0,1,2,1,0,0,4,Southpaw,182.88,185.42,170,29,32
Georges St-Pierre,Johny Hendricks,Mario Yamasaki,2013-11-16,"Las Vegas, Nevada, USA",Red,TRUE,Welterweight,5,0,6,0,4.454545455,3.545454545,14.72727273,10.72727273,35.63636364,13.81818182,4.909090909,3.818181818,44.54545455,19.45454545,0.5454545455,6.272727273,5.363636364,1,0,55.27272727,28.36363636,0.5790909091,0.4545454545,5.727272727,3.272727273,0.2954545455,77.36363636,48.90909091,6,1,10.72727273,7.727272727,14.54545455,8.454545455,42.81818182,13.81818182,1.818181818,1.727272727,44.72727273,13.27272727,0,3.727272727,3,0.2727272727,0,59.18181818,24,0.3172727273,0.09090909091,2.090909091,0.6363636364,0.1645454545,77.81818182,41.45454545,24,538.3636364,0,1,2,2,5,0,0,10,Southpaw,175.26,175.26,185,0,11,0,13.9,10.7,5.2,4,69.85,31.6,31.45,22.05,80.95,38.1,0.4,11.65,8.85,5.85,0.25,106.5,57.65,0.5655,1.1,5.6,4.2,0.74,173,119.9,11,2,8.35,5.45,5.2,3.2,67.8,13.7,4.1,2.3,62.65,10.55,0.15,6.1,3.2,0.35,0.2,77.1,19.2,0.2865,0.4,2.5,0.3,0.097,107.2,46.55,63,909.6,13,0,1,10,5,2,0,18,Orthodox,180.34,193.04,185,30,32
Jason High,Anthony Lapsley,Mario Yamasaki,2013-11-16,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Southpaw,175.26,180.34,170,0,1,0,2,1,2.333333333,1,10.66666667,2.666666667,1.333333333,0.6666666667,11.33333333,3.333333333,0,1,0,1.333333333,0.6666666667,14.33333333,4.333333333,0.18,1.666666667,0.6666666667,0.3333333333,0.3333333333,21.33333333,11,1,2,6.333333333,6,1,0.6666666667,7.333333333,2,10,8.333333333,10.66666667,4.333333333,0,1.333333333,0.6666666667,1,0,18.33333333,11,0.2066666667,0.3333333333,3.333333333,2,0.2,39.33333333,31.66666667,5,357.3333333,0,0,0,0,0,1,0,1,Southpaw,172.72,180.34,155,33,32
Josh Koscheck,Tyron Woodley,Herb Dean,2013-11-16,"Las Vegas, Nevada, USA",Blue,FALSE,Welterweight,3,1,0,0,23,21.5,20.5,19,29,12,8.5,6.5,30.5,12,0.5,4.5,4,0,0,58,37.5,0.655,0,0,0,0,76.5,56,1,1,40,24.5,40,24.5,66.5,16.5,0,0,47,3,0,19.5,13.5,0,0,106.5,41,0.19,0,9,0,0,134.5,66,4,468,0,0,0,0,1,0,0,1,Orthodox,175.26,187.96,170,2,0,0,4.636363636,3.454545455,2.863636364,1.772727273,36.81818182,8.818181818,10.63636364,8.136363636,44.31818182,14.18181818,0.1818181818,1.363636364,1.090909091,2.181818182,0.04545454545,50.31818182,18.72727273,0.4045454545,0.3181818182,3.363636364,1.772727273,0.5022727273,70.81818182,38.22727273,5,7,3.227272727,1.681818182,4.090909091,3.045454545,53.72727273,17.27272727,1.863636364,1.318181818,47.13636364,12.68181818,0.1818181818,9.318181818,7.272727273,0.1818181818,0.09090909091,59.68181818,21.63636364,0.3481818182,1.045454545,1.227272727,0.4545454545,0.135,74.54545455,35.59090909,48,601.6818182,1,0,1,5,6,3,0,15,Orthodox,177.8,185.42,170,31,35
Rory MacDonald,Robbie Lawler,Mario Yamasaki,2013-11-16,"Las Vegas, Nevada, USA",Blue,FALSE,Welterweight,3,0,2,0,6.111111111,5.333333333,11.44444444,7.333333333,30.22222222,10.11111111,8.444444444,4.555555556,43,15.88888889,0.5555555556,1,0.7777777778,0.7777777778,0.1111111111,50.11111111,22,0.4522222222,0,1.888888889,1.555555556,0.6111111111,58.88888889,30.66666667,3,3,5.777777778,4.777777778,11.11111111,6.444444444,37.77777778,12.11111111,0.3333333333,0.2222222222,34.22222222,7.444444444,0.1111111111,9.222222222,6.555555556,0.2222222222,0,49.22222222,18.77777778,0.4066666667,0.3333333333,1.666666667,0.5555555556,0.2955555556,60.77777778,29.77777778,17,417.5555556,0,0,0,2,4,0,0,6,Southpaw,180.34,187.96,170,0,5,0,12,7.285714286,7.428571429,3.857142857,63.57142857,29,16.85714286,11.71428571,70.57142857,33.14285714,0,5.285714286,4.142857143,1.571428571,0.1428571429,87.85714286,44.57142857,0.5028571429,0.5714285714,3.857142857,2.142857143,0.4371428571,101.1428571,56.85714286,5,1,7.142857143,3.571428571,9.285714286,5.285714286,51.42857143,12.28571429,7.142857143,4.714285714,53.28571429,13.42857143,0,7.428571429,5.285714286,0.8571428571,0.1428571429,67.85714286,22.28571429,0.2928571429,0.1428571429,3,0.4285714286,0.1185714286,100.4285714,51.57142857,16,647.7142857,0,0,0,3,2,1,0,6,Orthodox,182.88,193.04,170,31,24
